Time,Channel A
(ms),(V)

1.74103984,-0.09325787
1.74109584,-0.09325787
1.74115184,-0.09325787
1.74120784,-0.09325787
1.74126384,-0.11189710
1.74131984,-0.11189710
1.74137584,-0.11189710
1.74143184,-0.11189710
1.74148784,-0.11189710
1.74154384,-0.11189710
1.74159984,-0.11189710
1.74165584,-0.11189710
1.74171184,-0.11189710
1.74176784,-0.11189710
1.74182384,-0.09325787
1.74187984,-0.09325787
1.74193584,-0.09325787
1.74199184,-0.09325787
1.74204784,-0.11189710
1.74210384,-0.13053640
1.74215984,-0.14917570
1.74221584,-0.14917570
1.74227184,-0.14917570
1.74232784,-0.14917570
1.74238384,-0.14917570
1.74243984,-0.14917570
1.74249584,-0.14917570
1.74255184,-0.14917570
1.74260784,-0.14917570
1.74266384,-0.14917570
1.74271984,-0.14917570
1.74277584,-0.14917570
1.74283184,-0.14917570
1.74288784,-0.13053640
1.74294384,-0.13053640
1.74299984,-0.11189710
1.74305584,-0.13053640
1.74311184,-0.13053640
1.74316784,-0.13053640
1.74322384,-0.11189710
1.74327984,-0.11189710
1.74333584,-0.11189710
1.74339184,-0.11189710
1.74344784,-0.13053640
1.74350384,-0.13053640
1.74355984,-0.14917570
1.74361584,-0.14917570
1.74367184,-0.14917570
1.74372784,-0.14917570
1.74378384,-0.13053640
1.74383984,-0.13053640
1.74389584,-0.11189710
1.74395184,-0.11189710
1.74400784,-0.11189710
1.74406384,-0.13053640
1.74411984,-0.13053640
1.74417584,-0.13053640
1.74423184,-0.13053640
1.74428784,-0.13053640
1.74434384,-0.13053640
1.74439984,-0.13053640
1.74445584,-0.14917570
1.74451184,-0.14917570
1.74456784,-0.14917570
1.74462384,-0.14917570
1.74467984,-0.14917570
1.74473584,-0.14917570
1.74479184,-0.14917570
1.74484784,-0.14917570
1.74490384,-0.14917570
1.74495984,-0.14917570
1.74501584,-0.14917570
1.74507184,-0.16787650
1.74512784,-0.14917570
1.74518384,-0.16787650
1.74523984,-0.14917570
1.74529584,-0.14917570
1.74535184,-0.14917570
1.74540784,-0.14917570
1.74546384,-0.14917570
1.74551984,-0.13053640
1.74557584,-0.13053640
1.74563184,-0.13053640
1.74568784,-0.13053640
1.74574384,-0.11189710
1.74579984,-0.11189710
1.74585584,-0.11189710
1.74591184,-0.11189710
1.74596784,-0.11189710
1.74602384,-0.13053640
1.74607984,-0.13053640
1.74613584,-0.13053640
1.74619184,-0.13053640
1.74624784,-0.13053640
1.74630384,-0.13053640
1.74635984,-0.13053640
1.74641584,-0.13053640
1.74647184,-0.13053640
1.74652784,-0.13053640
1.74658384,-0.14917570
1.74663984,-0.14917570
1.74669584,-0.14917570
1.74675184,-0.14917570
1.74680784,-0.13053640
1.74686384,-0.13053640
1.74691984,-0.13053640
1.74697584,-0.14917570
1.74703184,-0.14917570
1.74708784,-0.16787650
1.74714384,-0.16787650
1.74719984,-0.16787650
1.74725584,-0.14917570
1.74731184,-0.14917570
1.74736784,-0.13053640
1.74742384,-0.13053640
1.74747984,-0.13053640
1.74753584,-0.13053640
1.74759184,-0.13053640
1.74764784,-0.13053640
1.74770384,-0.13053640
1.74775984,-0.11189710
1.74781584,-0.11189710
1.74787184,-0.11189710
1.74792784,-0.11189710
1.74798384,-0.11189710
1.74803984,-0.13053640
